créditos,Barco_total,Barco_ejercicios,Barco_memes,Barco_ferias,Barco_creditos,Media_total,Media_ejercicios,Media_memes,Media_ferias,Media_creditos,Brillante_total,Brillante_ejercicios,Brillante_memes,Brillante_ferias,Brillante_creditos,suma_ejercicios
"{'Ejercicios_CP01': 38, 'Ejercicios_CP05': 33, 'Ejercicios_CP06': 37, 'Hacer_TC': 34, 'Resolver_TC': 33, 'Exponer_TC': 96, 'Feria_Flotante': 69, 'Feria_Errores': 60, 'Feria_Sistemas': 45, 'Feria_Interpolacion': 71, 'Feria_Combinada': 68, 'Tarea_Extra1': 19, 'Tarea_Extra2': 12, 'Participar_Clase': 18, 'Detectar_Errores': 87, 'Hacer_Meme': 9, 'Hacer_Chiste': 95}",8,3,2,0,413,11,3,2,3,613,15,3,2,5,779,9
"{'Ejercicios_CP01': 71, 'Ejercicios_CP05': 85, 'Ejercicios_CP06': 70, 'Hacer_TC': 52, 'Resolver_TC': 60, 'Exponer_TC': 20, 'Feria_Flotante': 70, 'Feria_Errores': 9, 'Feria_Sistemas': 39, 'Feria_Interpolacion': 35, 'Feria_Combinada': 5, 'Tarea_Extra1': 88, 'Tarea_Extra2': 78, 'Participar_Clase': 75, 'Detectar_Errores': 96, 'Hacer_Meme': 90, 'Hacer_Chiste': 46}",8,3,2,0,621,11,3,2,1,789,15,3,2,3,975,9
"{'Ejercicios_CP01': 51, 'Ejercicios_CP05': 70, 'Ejercicios_CP06': 46, 'Hacer_TC': 82, 'Resolver_TC': 43, 'Exponer_TC': 15, 'Feria_Flotante': 98, 'Feria_Errores': 85, 'Feria_Sistemas': 99, 'Feria_Interpolacion': 99, 'Feria_Combinada': 6, 'Tarea_Extra1': 51, 'Tarea_Extra2': 2, 'Participar_Clase': 32, 'Detectar_Errores': 69, 'Hacer_Meme': 73, 'Hacer_Chiste': 7}",7,3,1,0,423,11,3,2,3,659,15,3,2,4,920,9
"{'Ejercicios_CP01': 65, 'Ejercicios_CP05': 61, 'Ejercicios_CP06': 52, 'Hacer_TC': 22, 'Resolver_TC': 28, 'Exponer_TC': 29, 'Feria_Flotante': 50, 'Feria_Errores': 86, 'Feria_Sistemas': 13, 'Feria_Interpolacion': 30, 'Feria_Combinada': 78, 'Tarea_Extra1': 6, 'Tarea_Extra2': 71, 'Participar_Clase': 41, 'Detectar_Errores': 99, 'Hacer_Meme': 76, 'Hacer_Chiste': 27}",8,3,2,0,450,11,3,2,2,685,15,3,2,4,799,9
"{'Ejercicios_CP01': 81, 'Ejercicios_CP05': 97, 'Ejercicios_CP06': 52, 'Hacer_TC': 4, 'Resolver_TC': 87, 'Exponer_TC': 45, 'Feria_Flotante': 91, 'Feria_Errores': 23, 'Feria_Sistemas': 10, 'Feria_Interpolacion': 15, 'Feria_Combinada': 7, 'Tarea_Extra1': 94, 'Tarea_Extra2': 21, 'Participar_Clase': 91, 'Detectar_Errores': 70, 'Hacer_Meme': 14, 'Hacer_Chiste': 21}",8,3,2,0,471,11,3,2,1,743,15,3,2,4,812,9
"{'Ejercicios_CP01': 53, 'Ejercicios_CP05': 35, 'Ejercicios_CP06': 90, 'Hacer_TC': 62, 'Resolver_TC': 68, 'Exponer_TC': 15, 'Feria_Flotante': 91, 'Feria_Errores': 11, 'Feria_Sistemas': 21, 'Feria_Interpolacion': 37, 'Feria_Combinada': 95, 'Tarea_Extra1': 57, 'Tarea_Extra2': 4, 'Participar_Clase': 61, 'Detectar_Errores': 79, 'Hacer_Meme': 22, 'Hacer_Chiste': 37}",8,3,2,0,434,11,3,2,2,635,15,3,2,4,823,9
"{'Ejercicios_CP01': 43, 'Ejercicios_CP05': 48, 'Ejercicios_CP06': 44, 'Hacer_TC': 4, 'Resolver_TC': 51, 'Exponer_TC': 56, 'Feria_Flotante': 12, 'Feria_Errores': 27, 'Feria_Sistemas': 56, 'Feria_Interpolacion': 47, 'Feria_Combinada': 99, 'Tarea_Extra1': 56, 'Tarea_Extra2': 75, 'Participar_Clase': 35, 'Detectar_Errores': 36, 'Hacer_Meme': 73, 'Hacer_Chiste': 63}",8,3,2,0,398,11,3,2,1,628,15,3,2,4,809,9
"{'Ejercicios_CP01': 72, 'Ejercicios_CP05': 59, 'Ejercicios_CP06': 73, 'Hacer_TC': 96, 'Resolver_TC': 94, 'Exponer_TC': 97, 'Feria_Flotante': 35, 'Feria_Errores': 37, 'Feria_Sistemas': 15, 'Feria_Interpolacion': 8, 'Feria_Combinada': 13, 'Tarea_Extra1': 24, 'Tarea_Extra2': 37, 'Participar_Clase': 41, 'Detectar_Errores': 14, 'Hacer_Meme': 4, 'Hacer_Chiste': 89}",7,3,1,0,527,11,3,2,0,676,15,3,2,3,787,9
"{'Ejercicios_CP01': 86, 'Ejercicios_CP05': 22, 'Ejercicios_CP06': 81, 'Hacer_TC': 10, 'Resolver_TC': 11, 'Exponer_TC': 34, 'Feria_Flotante': 62, 'Feria_Errores': 22, 'Feria_Sistemas': 17, 'Feria_Interpolacion': 17, 'Feria_Combinada': 9, 'Tarea_Extra1': 57, 'Tarea_Extra2': 96, 'Participar_Clase': 6, 'Detectar_Errores': 2, 'Hacer_Meme': 56, 'Hacer_Chiste': 86}",7,3,2,0,461,11,3,2,1,588,15,3,2,4,654,9
"{'Ejercicios_CP01': 46, 'Ejercicios_CP05': 74, 'Ejercicios_CP06': 76, 'Hacer_TC': 94, 'Resolver_TC': 51, 'Exponer_TC': 88, 'Feria_Flotante': 27, 'Feria_Errores': 79, 'Feria_Sistemas': 25, 'Feria_Interpolacion': 35, 'Feria_Combinada': 5, 'Tarea_Extra1': 4, 'Tarea_Extra2': 67, 'Participar_Clase': 75, 'Detectar_Errores': 26, 'Hacer_Meme': 24, 'Hacer_Chiste': 69}",8,3,2,0,478,11,3,2,1,718,15,3,2,4,856,9
